Business Name,Type,Phone,Email,Website,Address,Notes
EaDo Family Dental,Dental,713-474-2334,office@eadofamilydental.com,eadofamilydental.com,"2240 Navigation Blvd Suite 300, Houston TX 77003",2 locations; hours till 7pm but closed weekends - perfect AI after-hours use case
EaDo Family Dental (Northside),Dental,346-348-2442,northside@eadofamilydental.com,eadofamilydental.com,"1102 Pinemont Dr Suite I, Houston TX 77018",Second location
Evan C. Adams DDS,Dental,281-493-4173,,evanadamsdds.com,"909 Dairy Ashford St Suite 104, Houston TX 77079",2 doctors; uses Yapi for scheduling - could integrate AI
EZ Dental Clinic,Dental,281-498-2929,,ezdentalclinic.com,"Houston TX",In-house lab; same-day procedures; modern practice
Sonrisa Dental,Dental,281-983-9200,,sonrisadentalcare.com,"Houston TX 77072",Dr. Tutu Omilabu; 20+ years exp; multilingual; morning+evening hours
Texas Dentist 101,Dental,,,txdentist101.com,"Houston TX (Westchase/Bellaire area)",Multilingual (English/Chinese/Spanish) - great fit for AI multilingual chatbot
Houston Family Dental Center,Dental,713-692-2627,,houstonfamilydentalcenter.com,"4000 Fulton St Ste D, Houston TX 77009",Accepts Medicaid/Medicare; FAQ-heavy site - AI could handle intake
Smile4Ever Family Dentistry,Dental,,,smile4everdental.com,"Houston TX (Jester Blvd)",24/7 online booking already; affordable focus; sedation dentistry
Houston Dental Care,Dental,,,houstondentalcare.org,"Houston TX",General + cosmetic; established practice
Dental Clinics of Texas,Dental (Pediatric),,,dentalclinicsoftexas.com,"West Houston/Cypress/Katy",3 locations; pediatric focus - parents calling after hours is huge
